sample_id,context_id,label,anomaly_score
103201301:96afcb4ad716,C6,0,0.605072750575752
103201301:96afcb4ad716::anomaly::0,C6,1,0.6041677650230773
183642479:f1d8e2d932d5::anomaly::0,C6,1,0.5754868912849034
183642479:f1d8e2d932d5,C6,0,0.574154631242817
103173578:5e1825205b85::anomaly::0,C1,1,0.54418363392887
103173578:5e1825205b85,C1,0,0.5392859320712415
371509190:9949d314f3d3::anomaly::0,C7,1,0.5348331929790784
611289101:5ff4bbac8abd::anomaly::0,C6,1,0.5323543170105305
611289101:5ff4bbac8abd,C6,0,0.5286117269474607
371509190:9949d314f3d3,C7,0,0.5255125556811846
133675810:a54f3312f479,C6,0,0.5173681108329864
133675810:a54f3312f479::anomaly::0,C6,1,0.5168486314391822
101660954:82d1929e669e,C6,0,0.5032476958322796
101660954:82d1929e669e::anomaly::0,C6,1,0.5003981773585909
534915452:2602f683a418::anomaly::0,C5,1,0.4945372863627761
151727619:6764756376d3::anomaly::0,C1,1,0.49355760366491025
151727619:6764756376d3,C1,0,0.49192693854574127
534915452:2602f683a418,C5,0,0.49099942456816026
241555935:585d09b2c699::anomaly::0,C6,1,0.4830298395329286
241555935:585d09b2c699,C6,0,0.4809011058499676
316823064:291b6d1c0d17::anomaly::0,C6,1,0.4738927140139001
316823064:291b6d1c0d17,C6,0,0.4737557899253009
103510170:2e6e30b9f823,C6,0,0.46369223793634223
76552082:ecc771a84e20::anomaly::0,C6,1,0.4621357831673351
103510170:2e6e30b9f823::anomaly::0,C6,1,0.4615340033287157
345692117:a1ee242ebd12::anomaly::0,C4,1,0.4611685534462223
138546402:5a51f87c6d53::anomaly::0,C6,1,0.4607752057970725
345692117:a1ee242ebd12,C4,0,0.4582468158879598
138546402:5a51f87c6d53,C6,0,0.45813047237424115
76552082:ecc771a84e20,C6,0,0.45750291089750733
104859501:2c3946c81912::anomaly::0,C5,1,0.4574040581029044
104859501:2c3946c81912,C5,0,0.4474687766690176
94737529:4598828cce90::anomaly::0,C4,1,0.4448673299150548
94737529:4598828cce90,C4,0,0.441608928827404
136401408:42693d40bceb::anomaly::0,C2,1,0.42506281993242695
268826962:55abacb6bfa4::anomaly::0,C8,1,0.4231384655916086
104857991:ccb33d7cb7b3::anomaly::0,C6,1,0.42184249686724223
69681355:6c02ed873ab3::anomaly::0,C1,1,0.41810764650665244
104857991:ccb33d7cb7b3,C6,0,0.41698252385370516
136401408:42693d40bceb,C2,0,0.4169630431871394
69681355:6c02ed873ab3,C1,0,0.4159205374367225
54501548:6135d272ab33::anomaly::0,C6,1,0.4108546556417788
268826962:55abacb6bfa4,C8,0,0.41037945520016766
104858991:87f1c9c18408::anomaly::0,C2,1,0.4093933453646431
54501548:6135d272ab33,C6,0,0.40753356635534627
161867918:359c8a760f67,C6,0,0.40650642112254715
1013291089:dd6251a1b5d1,C4,0,0.4043538669569857
104858991:87f1c9c18408,C2,0,0.40428376628849244
1013291089:dd6251a1b5d1::anomaly::0,C4,1,0.4038777953429677
161867918:359c8a760f67::anomaly::0,C6,1,0.4032708655803264
